"No.","Time","Source","Destination","Protocol","Length","Info"
"148","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=17760, ID=e2c7) [Reassembled in #180]"
"149","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=19240, ID=e2c7) [Reassembled in #180]"
"150","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=20720, ID=e2c7) [Reassembled in #180]"
"151","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=22200, ID=e2c7) [Reassembled in #180]"
"152","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=23680, ID=e2c7) [Reassembled in #180]"
"153","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=25160, ID=e2c7) [Reassembled in #180]"
"154","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=26640, ID=e2c7) [Reassembled in #180]"
"155","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=28120, ID=e2c7) [Reassembled in #180]"
"156","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=29600, ID=e2c7) [Reassembled in #180]"
"157","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=31080, ID=e2c7) [Reassembled in #180]"
"158","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=32560, ID=e2c7) [Reassembled in #180]"
"159","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=34040, ID=e2c7) [Reassembled in #180]"
"160","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=35520, ID=e2c7) [Reassembled in #180]"
"161","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=37000, ID=e2c7) [Reassembled in #180]"
"162","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=38480, ID=e2c7) [Reassembled in #180]"
"163","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=39960, ID=e2c7) [Reassembled in #180]"
"164","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=41440, ID=e2c7) [Reassembled in #180]"
"165","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=42920, ID=e2c7) [Reassembled in #180]"
"166","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=44400, ID=e2c7) [Reassembled in #180]"
"167","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=45880, ID=e2c7) [Reassembled in #180]"
"168","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=47360, ID=e2c7) [Reassembled in #180]"
"169","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=48840, ID=e2c7) [Reassembled in #180]"
"170","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=50320, ID=e2c7) [Reassembled in #180]"
"171","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=51800, ID=e2c7) [Reassembled in #180]"
"172","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=53280, ID=e2c7) [Reassembled in #180]"
"173","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=54760, ID=e2c7) [Reassembled in #180]"
"174","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=56240, ID=e2c7) [Reassembled in #180]"
"175","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=57720, ID=e2c7) [Reassembled in #180]"
"176","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=59200, ID=e2c7) [Reassembled in #180]"
"177","1.015281","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=60680, ID=e2c7) [Reassembled in #180]"
